0.000000e+00 0.000000e+00 0.000000e+00
1.000000e-08 1.000000e-08 6.216883e-04
1.084786e-08 1.084786e-08 6.788576e-04
1.254359e-08 1.254359e-08 8.021010e-04
1.593504e-08 1.593504e-08 1.101878e-03
2.271795e-08 2.271795e-08 1.913105e-03
3.628377e-08 3.628377e-08 4.368405e-03
6.341540e-08 6.341540e-08 1.246938e-02
1.176787e-07 1.176787e-07 3.985890e-02
2.262052e-07 2.262052e-07 1.213348e-01
3.583207e-07 3.583207e-07 2.157298e-01
5.143374e-07 5.143374e-07 2.342384e-01
6.758642e-07 6.758642e-07 1.257408e-01
8.145377e-07 8.145377e-07 -8.080665e-03
9.317812e-07 9.317812e-07 -8.108611e-02
1.049246e-06 1.049246e-06 -7.825394e-02
1.172808e-06 1.172808e-06 4.671753e-05
1.290973e-06 1.290973e-06 1.033419e-01
1.422868e-06 1.422868e-06 1.792066e-01
1.562394e-06 1.562394e-06 1.612991e-01
1.735886e-06 1.735886e-06 2.554325e-02
1.868366e-06 1.868366e-06 -8.523229e-02
1.983717e-06 1.983717e-06 -1.216382e-01
2.111771e-06 2.111771e-06 -7.427457e-02
2.251530e-06 2.251530e-06 4.293090e-02
2.372790e-06 2.372790e-06 1.361626e-01
2.507657e-06 2.507657e-06 1.612073e-01
2.648299e-06 2.648299e-06 8.412756e-02
2.776881e-06 2.776881e-06 -3.407293e-02
2.894714e-06 2.894714e-06 -1.193079e-01
3.017776e-06 3.017776e-06 -1.346253e-01
3.159469e-06 3.159469e-06 -5.369656e-02
3.284721e-06 3.284721e-06 5.982642e-02
3.404542e-06 3.404542e-06 1.401527e-01
3.535421e-06 3.535421e-06 1.440489e-01
3.683156e-06 3.683156e-06 4.624076e-02
3.810409e-06 3.810409e-06 -6.947592e-02
3.930378e-06 3.930378e-06 -1.381482e-01
4.060334e-06 4.060334e-06 -1.245580e-01
4.218523e-06 4.218523e-06 -7.305106e-03
4.346273e-06 4.346273e-06 1.018281e-01
4.484196e-06 4.484196e-06 1.481508e-01
4.611857e-06 4.611857e-06 9.753818e-02
4.752057e-06 4.752057e-06 -2.308562e-02
4.874289e-06 4.874289e-06 -1.189256e-01
5.000089e-06 5.000089e-06 -1.468485e-01
5.138901e-06 5.138901e-06 -7.803012e-02
5.265402e-06 5.265402e-06 3.603660e-02
5.383463e-06 5.383463e-06 1.247618e-01
5.509447e-06 5.509447e-06 1.460761e-01
5.652154e-06 5.652154e-06 6.826123e-02
5.778828e-06 5.778828e-06 -4.711845e-02
5.895329e-06 5.895329e-06 -1.297220e-01
6.023796e-06 6.023796e-06 -1.419667e-01
6.167290e-06 6.167290e-06 -5.488141e-02
6.293717e-06 6.293717e-06 6.047635e-02
6.412866e-06 6.412866e-06 1.370604e-01
6.542701e-06 6.542701e-06 1.359219e-01
6.690763e-06 6.690763e-06 3.470351e-02
6.817394e-06 6.817394e-06 -7.918429e-02
6.940420e-06 6.940420e-06 -1.440271e-01
7.071491e-06 7.071491e-06 -1.220931e-01
7.239727e-06 7.239727e-06 7.976087e-03
7.368881e-06 7.368881e-06 1.120520e-01
7.505315e-06 7.505315e-06 1.424667e-01
7.633811e-06 7.633811e-06 7.826582e-02
7.760225e-06 7.760225e-06 -3.466569e-02
7.878740e-06 7.878740e-06 -1.252309e-01
8.005222e-06 8.005222e-06 -1.494409e-01
8.147913e-06 8.147913e-06 -7.399455e-02
8.275000e-06 8.275000e-06 4.173048e-02
8.392177e-06 8.392177e-06 1.264681e-01
8.518952e-06 8.518952e-06 1.416738e-01
8.661866e-06 8.661866e-06 5.812939e-02
8.788124e-06 8.788124e-06 -5.696471e-02
8.906564e-06 8.906564e-06 -1.358776e-01
