 1.00000000e+07 -3.59646973e+01  1.00000000e+07 -1.55488218e+00 
 1.12201845e+07 -3.69644711e+01  1.12201845e+07 -1.55661258e+00 
 1.25892541e+07 -3.79642914e+01  1.25892541e+07 -1.55815487e+00 
 1.41253754e+07 -3.89641487e+01  1.41253754e+07 -1.55952950e+00 
 1.58489319e+07 -3.99640353e+01  1.58489319e+07 -1.56075467e+00 
 1.77827941e+07 -4.09639452e+01  1.77827941e+07 -1.56184663e+00 
 1.99526231e+07 -4.19638737e+01  1.99526231e+07 -1.56281985e+00 
 2.23872114e+07 -4.29638169e+01  2.23872114e+07 -1.56368726e+00 
 2.51188643e+07 -4.39637717e+01  2.51188643e+07 -1.56446034e+00 
 2.81838293e+07 -4.49637359e+01  2.81838293e+07 -1.56514936e+00 
 3.16227766e+07 -4.59637074e+01  3.16227766e+07 -1.56576345e+00 
 3.54813389e+07 -4.69636847e+01  3.54813389e+07 -1.56631076e+00 
 3.98107171e+07 -4.79636668e+01  3.98107171e+07 -1.56679856e+00 
 4.46683592e+07 -4.89636525e+01  4.46683592e+07 -1.56723331e+00 
 5.01187234e+07 -4.99636412e+01  5.01187234e+07 -1.56762078e+00 
 5.62341325e+07 -5.09636322e+01  5.62341325e+07 -1.56796611e+00 
 6.30957344e+07 -5.19636250e+01  6.30957344e+07 -1.56827390e+00 
 7.07945784e+07 -5.29636193e+01  7.07945784e+07 -1.56854821e+00 
 7.94328235e+07 -5.39636148e+01  7.94328235e+07 -1.56879269e+00 
 8.91250938e+07 -5.49636112e+01  8.91250938e+07 -1.56901058e+00 
 1.00000000e+08 -5.59636084e+01  1.00000000e+08 -1.56920478e+00 
 1.12201845e+08 -5.69636061e+01  1.12201845e+08 -1.56937786e+00 
 1.25892541e+08 -5.79636043e+01  1.25892541e+08 -1.56953211e+00 
 1.41253754e+08 -5.89636029e+01  1.41253754e+08 -1.56966960e+00 
 1.58489319e+08 -5.99636017e+01  1.58489319e+08 -1.56979213e+00 
 1.77827941e+08 -6.09636008e+01  1.77827941e+08 -1.56990133e+00 
 1.99526231e+08 -6.19636001e+01  1.99526231e+08 -1.56999866e+00 
 2.23872114e+08 -6.29635996e+01  2.23872114e+08 -1.57008541e+00 
 2.51188643e+08 -6.39635991e+01  2.51188643e+08 -1.57016272e+00 
 2.81838293e+08 -6.49635988e+01  2.81838293e+08 -1.57023162e+00 
 3.16227766e+08 -6.59635985e+01  3.16227766e+08 -1.57029303e+00 
 3.54813389e+08 -6.69635982e+01  3.54813389e+08 -1.57034777e+00 
 3.98107171e+08 -6.79635981e+01  3.98107171e+08 -1.57039655e+00 
 4.46683592e+08 -6.89635979e+01  4.46683592e+08 -1.57044002e+00 
 5.01187234e+08 -6.99635978e+01  5.01187234e+08 -1.57047877e+00 
 5.62341325e+08 -7.09635977e+01  5.62341325e+08 -1.57051330e+00 
 6.30957344e+08 -7.19635976e+01  6.30957344e+08 -1.57054408e+00 
 7.07945784e+08 -7.29635976e+01  7.07945784e+08 -1.57057151e+00 
 7.94328235e+08 -7.39635975e+01  7.94328235e+08 -1.57059596e+00 
 8.91250938e+08 -7.49635975e+01  8.91250938e+08 -1.57061775e+00 
 1.00000000e+09 -7.59635975e+01  1.00000000e+09 -1.57063717e+00 
