trial,analysis,status,r1,@n1[dr],@rm[r],pk,npk,tpk,over,tr,q
113,tran,ok,-2.32964067166,-9.48214380429,989.772774549,2.80321542076,5,9.95171642072e-05,1.80321542076,,
114,tran,ok,19.3989505747,-17.2857771681,984.165867932,1.31997768581,2,0.000103860038602,0.319977685813,,
115,tran,ok,24.3214134859,-13.8856721526,1059.00506404,1.23044839248,2,0.000106941049017,0.230448392476,,
116,tran,ok,0.927043241756,-15.2933968173,1046.61612699,1.90838925921,5,9.9380692333e-05,0.908389259212,,
117,tran,ok,15.1831116168,1.35490884829,1011.97408656,1.41754724334,3,0.000101988232524,0.417547243338,,
118,tran,ok,17.0306383418,-3.76554416274,975.745229243,1.37167192135,2,0.000102720521013,0.371671921349,,
119,tran,ok,23.5305814704,-12.4777037559,973.088026633,1.24071821765,2,0.000106327477394,0.240718217651,,
120,tran,ok,21.1305488137,-2.18280519084,1005.98040878,1.28670859854,2,0.00010483125857,0.286708598539,,
121,tran,ok,26.162081666,8.49804319288,982.402357862,1.19823757485,1,0.000108309573219,0.198237574851,,
122,tran,ok,6.22285295218,-8.45128965192,1026.435829,1.68812288791,5,9.97274614996e-05,0.688122887905,,
123,tran,ok,32.2834014856,-5.9458942817,1013.97862758,1.11376050898,1,0.000114341773595,0.113760508982,,
124,tran,ok,16.2060654422,-6.44013005985,998.400202494,1.39181458179,2,0.000102382175253,0.391814581791,,
125,tran,ok,20.8532224475,-20.3688831925,971.593675702,1.28983075792,2,0.000104636142145,0.289830757918,,
126,tran,ok,41.1945021726,-16.469451519,1028.12129296,1.02460864729,1,0.000128689770058,0.0246086472925,,
127,tran,ok,36.4688472969,-7.55694997018,984.470267289,1.06590320306,1,0.000119976360333,0.0659032030647,,
128,tran,ok,27.4857219197,-4.953505969,985.154893126,1.17753254108,1,0.000109419046385,0.177532541083,,
129,tran,ok,8.12020293636,-7.37130629648,1005.34675435,1.62076371403,5,0.000100020350345,0.62076371403,,
130,tran,ok,27.4190793735,-22.0224545628,1015.45812031,1.17907081112,1,0.000109372274792,0.179070811119,,
131,tran,ok,14.1298512674,-2.77589270224,964.20654774,1.4419563809,3,0.000101586210128,0.441956380898,,
132,tran,ok,15.1349673168,-20.3536934017,1007.6213846,1.41765182142,3,0.000101960196277,0.417651821423,,
133,tran,ok,9.18163738761,5.50433930311,1020.59557864,1.58713022917,4,0.000100231677337,0.587130229171,,
134,tran,ok,15.715722047,-6.21743301293,979.556185194,1.402797211,2,0.000102178188295,0.402797210996,,
135,tran,ok,17.3619498896,-16.7169166128,977.289583051,1.36368698253,2,0.000102864455306,0.363686982528,,
136,tran,ok,19.2600880786,-13.2205460117,1042.37197847,1.32543748533,2,0.000103820600023,0.32543748533,,
137,tran,ok,15.426000034,-6.66411097066,987.510427621,1.41019294336,3,0.000102068543546,0.41019294336,,
138,tran,ok,23.3894784068,5.13780020752,996.625395758,1.24493850776,2,0.0001062615232,0.244938507758,,
139,tran,ok,22.4001292743,-16.8345781605,1011.17245844,1.26249612143,2,0.000105609781831,0.262496121429,,
140,tran,ok,21.2984094499,-3.96675567242,1026.68289151,1.28425025428,2,0.000104943150601,0.284250254281,,
141,tran,ok,19.7143742516,26.41480799,1012.17663761,1.31637565857,2,0.000104062800034,0.316375658573,,
142,tran,ok,36.7552384487,17.0166760916,1021.25235615,1.06545909994,1,0.0001205082722,0.0654590999432,,
143,tran,ok,14.7905541885,-20.0437134929,996.137127199,1.42577272421,3,0.000101827812059,0.425772724215,,
144,tran,ok,15.7993895364,0.527264832237,1023.04731638,1.40286945803,2,0.000102231142063,0.402869458031,,
145,tran,ok,37.1263110915,4.71626176322,1031.87771145,1.06174497654,1,0.000121107818499,0.0617449765395,,
146,tran,ok,36.9166409569,-6.47364208079,991.014553141,1.06169605262,1,0.000120675287555,0.0616960526202,,
147,tran,ok,32.7880792219,-13.3372061963,950.573601171,1.10464403663,1,0.00011485272484,0.104644036626,,
148,tran,ok,6.83864591894,-6.98290485309,1010.01446773,1.6652693625,5,9.98114396456e-05,0.665269362503,,
149,tran,ok,3.17623643218,-5.50393936575,1007.43147684,1.80699401136,5,9.94415108865e-05,0.806994011359,,
150,tran,ok,7.84342037889,-9.11783152631,983.879597587,1.62906552151,5,9.99674110077e-05,0.629065521514,,
151,tran,ok,30.6474405928,-26.6076404269,994.605427253,1.13276156919,1,0.000112456787999,0.132761569194,,
152,tran,ok,17.1999821556,3.18275414208,999.581633047,1.3691490913,2,0.000102810814976,0.369149091298,,
153,tran,ok,28.5144648416,-14.4838945988,993.663853799,1.16242634399,1,0.000110343242753,0.162426343995,,
154,tran,ok,16.0308799327,16.1888411309,987.434013893,1.3964861216,2,0.000102315939246,0.396486121601,,
155,tran,ok,8.19616583708,2.22238569207,1027.44686695,1.6195716487,5,0.000100039696428,0.619571648703,,
156,tran,ok,24.7825571969,1.11035286845,1005.31888591,1.22124840705,1,0.000107256316118,0.221248407055,,
157,tran,ok,29.7202082952,-5.34091686784,964.911802738,1.14481218154,1,0.000111497313257,0.144812181541,,
158,tran,ok,19.4095390233,-12.7212469372,989.129761868,1.32017025858,2,0.000103870764084,0.320170258582,,
159,tran,ok,27.930011661,7.67603488434,1059.68023421,1.17431661249,1,0.000109889398869,0.174316612491,,
